"Date","Price","Open","High","Low","Change %"
"Aug 01, 2022","2.8741","2.9148","2.9289","2.8741","-1.60%"
"Jul 31, 2022","2.9209","2.9148","2.9209","2.9148","1.05%"
"Jul 29, 2022","2.8905","2.8780","2.9590","2.8260","0.77%"
"Jul 28, 2022","2.8683","2.9860","3.0220","2.8160","-3.87%"
"Jul 27, 2022","2.9837","3.0550","3.1080","2.9610","-2.46%"
"Jul 26, 2022","3.0589","3.0160","3.0650","2.9780","1.35%"
"Jul 25, 2022","3.0182","3.0100","3.0410","2.9800","0.49%"
"Jul 24, 2022","3.0035","3.0077","3.0077","3.0035","1.06%"
"Jul 22, 2022","2.9721","3.1060","3.1440","2.9050","-3.99%"
"Jul 21, 2022","3.0955","3.2310","3.2760","3.0810","-4.33%"
"Jul 20, 2022","3.2356","3.2440","3.2570","3.1620","-0.19%"
"Jul 19, 2022","3.2416","3.1770","3.2460","3.1370","2.25%"
"Jul 18, 2022","3.1702","3.1240","3.1930","3.1120","1.27%"
"Jul 17, 2022","3.1305","3.1305","3.1305","3.1305","0.00%"
"Jul 15, 2022","3.1305","3.1320","3.1870","3.0580","0.08%"
"Jul 14, 2022","3.1279","3.1750","3.2690","3.1090","-0.65%"
"Jul 13, 2022","3.1485","3.0510","3.2150","3.0290","3.19%"
"Jul 12, 2022","3.0512","3.0680","3.0700","2.9810","-0.60%"
"Jul 11, 2022","3.0697","3.1250","3.1320","3.0120","-1.72%"
"Jul 10, 2022","3.1233","3.1274","3.1274","3.1233","0.60%"
"Jul 08, 2022","3.1047","3.0240","3.1480","2.9920","2.66%"
"Jul 07, 2022","3.0244","3.0000","3.0610","2.9570","0.96%"
"Jul 06, 2022","2.9957","2.8370","3.0060","2.7610","6.14%"
"Jul 05, 2022","2.8225","2.9100","2.9650","2.7760","-3.01%"
"Jul 04, 2022","2.9102","2.9163","2.9244","2.9102","2.51%"
"Jul 01, 2022","2.8390","2.9840","2.9860","2.7290","-3.94%"
"Jun 30, 2022","2.9554","3.0300","3.0550","2.9210","-2.87%"
