"Date","Price","Open","High","Low","Change %"
"Aug 01, 2022","2.5332","2.4398","2.5332","2.3576","6.51%"
"Jul 31, 2022","2.3783","2.3732","2.3783","2.3732","0.22%"
"Jul 29, 2022","2.3730","2.4170","2.4370","2.3710","-0.54%"
"Jul 28, 2022","2.3860","2.4920","2.4970","2.3660","-2.65%"
"Jul 27, 2022","2.4510","2.5710","2.5710","2.4100","-3.12%"
"Jul 26, 2022","2.5300","2.5560","2.6050","2.5150","1.77%"
"Jul 25, 2022","2.4860","2.4680","2.5320","2.4450","0.83%"
"Jul 24, 2022","2.4655","2.4629","2.4655","2.4629","0.71%"
"Jul 22, 2022","2.4480","2.4840","2.4910","2.4120","-0.41%"
"Jul 21, 2022","2.4580","2.5040","2.5120","2.4400","-1.36%"
"Jul 20, 2022","2.4920","2.5330","2.5480","2.4640","-0.52%"
"Jul 19, 2022","2.5050","2.5330","2.5330","2.4690","5.70%"
"Jul 18, 2022","2.3700","2.3140","2.4500","2.3140","-1.41%"
"Jul 17, 2022","2.4039","2.4039","2.4039","2.4039","2.95%"
"Jul 15, 2022","2.3350","2.4020","2.4300","2.3250","-2.67%"
"Jul 14, 2022","2.3990","2.4120","2.5580","2.3810","0.97%"
"Jul 13, 2022","2.3760","2.2250","2.4510","2.1970","7.76%"
"Jul 12, 2022","2.2050","2.1640","2.2120","2.1590","6.99%"
"Jul 11, 2022","2.0610","1.9300","2.0890","1.9220","7.20%"
"Jul 10, 2022","1.9225","1.9557","1.9557","1.9225","-2.06%"
"Jul 08, 2022","1.9630","1.9250","1.9760","1.9250","0.77%"
"Jul 07, 2022","1.9480","1.9280","1.9740","1.9020","3.34%"
"Jul 06, 2022","1.8850","1.9180","1.9230","1.8770","8.90%"
"Jul 05, 2022","1.7310","1.7410","1.7640","1.7050","-1.29%"
"Jul 04, 2022","1.7536","1.6846","1.7536","1.6846","2.55%"
"Jul 01, 2022","1.7100","1.7110","1.7330","1.6670","0.59%"
"Jun 30, 2022","1.7000","1.7800","1.8150","1.6900","-3.24%"
"Jun 29, 2022","1.7570","1.8130","1.8150","1.7570","-1.29%"
"Jun 28, 2022","1.7800","1.7770","1.8280","1.7770","5.64%"
"Jun 27, 2022","1.6850","1.6920","1.7310","1.6670","-0.58%"
"Jun 26, 2022","1.6949","1.6924","1.6949","1.6924","0.47%"
"Jun 24, 2022","1.6870","1.6210","1.7130","1.6210","3.24%"
"Jun 23, 2022","1.6340","1.6240","1.6670","1.5850","2.57%"
"Jun 22, 2022","1.5930","1.7080","1.7080","1.5750","0.82%"
"Jun 21, 2022","1.5800","1.6560","1.6770","1.5640","-4.18%"
"Jun 20, 2022","1.6489","1.6208","1.6642","1.6208","3.51%"
"Jun 17, 2022","1.5930","1.6240","1.6590","1.5700","0.50%"
"Jun 16, 2022","1.5850","1.6830","1.7360","1.5490","-9.79%"
"Jun 15, 2022","1.7570","1.8050","1.8740","1.6370","-2.12%"
"Jun 14, 2022","1.7950","1.7620","1.8410","1.7180","15.51%"
"Jun 13, 2022","1.5540","1.3630","1.6720","1.3630","14.22%"
"Jun 12, 2022","1.3605","1.3503","1.3605","1.3503","-0.18%"
"Jun 10, 2022","1.3630","1.3070","1.3760","1.2740","6.99%"
"Jun 09, 2022","1.2740","1.2920","1.3020","1.2690","0.79%"
"Jun 08, 2022","1.2640","1.2690","1.2820","1.2560","0.64%"
"Jun 07, 2022","1.2560","1.2590","1.2740","1.2480","2.95%"
"Jun 06, 2022","1.2200","1.2050","1.2230","1.1770","0.83%"
"Jun 05, 2022","1.2100","1.1973","1.2100","1.1973","2.11%"
"Jun 03, 2022","1.1850","1.1770","1.2410","1.1490","3.40%"
"Jun 02, 2022","1.1460","1.1620","1.1850","1.1280","1.33%"
"Jun 01, 2022","1.1310","1.1690","1.1690","1.1230","6.00%"
"May 31, 2022","1.0670","1.0770","1.1050","1.0620","-1.20%"
"May 30, 2022","1.0800","1.0749","1.0800","1.0749","-0.74%"
"May 27, 2022","1.0880","1.0750","1.0930","1.0670","3.13%"
"May 26, 2022","1.0550","1.0900","1.1080","1.0520","-1.68%"
"May 25, 2022","1.0730","1.0900","1.0900","1.0570","0.75%"
"May 24, 2022","1.0650","1.0900","1.1080","1.0600","3.50%"
"May 23, 2022","1.0290","1.0570","1.0820","1.0240","-2.89%"
"May 22, 2022","1.0596","1.0418","1.0596","1.0291","2.48%"
"May 20, 2022","1.0340","1.0700","1.0950","1.0260","-1.24%"
"May 19, 2022","1.0470","1.0550","1.0950","1.0290","0.77%"
"May 18, 2022","1.0390","1.0670","1.0880","1.0290","-2.90%"
"May 17, 2022","1.0700","1.0730","1.0880","1.0500","4.19%"
"May 16, 2022","1.0270","1.0160","1.0600","0.9910","1.81%"
"May 15, 2022","1.0087","0.9960","1.0087","0.9960","2.10%"
"May 13, 2022","0.9880","0.9810","1.0160","0.9480","5.11%"
"May 12, 2022","0.9400","0.9450","0.9680","0.9100","3.98%"
"May 11, 2022","0.9040","0.9380","0.9450","0.8920","-0.33%"
"May 10, 2022","0.9070","0.9450","0.9450","0.8990","8.88%"
"May 09, 2022","0.8330","0.8380","0.8690","0.8200","-1.21%"
"May 08, 2022","0.8432","0.8432","0.8432","0.8432","-0.57%"
"May 06, 2022","0.8480","0.8280","0.8890","0.8180","-0.35%"
"May 05, 2022","0.8510","0.8840","0.9200","0.8310","-7.70%"
"May 04, 2022","0.9220","0.9250","0.9600","0.8710","-0.32%"
"May 03, 2022","0.9250","0.9250","0.9680","0.9120","15.62%"
"May 02, 2022","0.8000","0.8940","0.8970","0.7970","-10.78%"
"May 01, 2022","0.8967","0.8432","0.8967","0.8432","6.62%"
"Apr 29, 2022","0.8410","0.8530","0.8690","0.8330","1.94%"
"Apr 28, 2022","0.8250","0.8640","0.8920","0.8080","-0.36%"
"Apr 27, 2022","0.8280","0.8590","0.8690","0.8280","-3.27%"
"Apr 26, 2022","0.8560","0.9380","0.9380","0.8430","3.13%"
"Apr 25, 2022","0.8300","0.8640","0.8760","0.8250","-6.37%"
"Apr 24, 2022","0.8865","0.8432","0.8865","0.8432","7.07%"
"Apr 22, 2022","0.8280","0.8460","0.8760","0.8280","0.00%"
"Apr 21, 2022","0.8280","0.8560","0.8890","0.8150","0.61%"
"Apr 20, 2022","0.8230","0.8540","0.8710","0.8150","-3.86%"
"Apr 19, 2022","0.8560","0.8940","0.8990","0.8460","9.74%"
"Apr 18, 2022","0.7800","0.7970","0.8230","0.7720","-2.50%"
"Apr 17, 2022","0.8000","0.7923","0.8050","0.7923","1.65%"
"Apr 14, 2022","0.7870","0.7750","0.8050","0.7690","3.96%"
"Apr 13, 2022","0.7570","0.7620","0.7670","0.7470","-0.26%"
"Apr 12, 2022","0.7590","0.8200","0.8260","0.7540","7.51%"
"Apr 11, 2022","0.7060","0.7360","0.7360","0.7010","1.12%"
"Apr 10, 2022","0.6982","0.6957","0.6982","0.6957","0.03%"
"Apr 08, 2022","0.6980","0.7110","0.7240","0.6880","2.20%"
"Apr 07, 2022","0.6830","0.6830","0.7140","0.6750","-0.73%"
"Apr 06, 2022","0.6880","0.7190","0.7190","0.6750","0.00%"
"Apr 05, 2022","0.6880","0.6910","0.7140","0.6800","21.55%"
"Apr 04, 2022","0.5660","0.5280","0.5680","0.5280","7.75%"
