"Date","Price","Open","High","Low","Change %"
"Aug 01, 2022","2.6274","2.7012","2.7163","2.6274","-2.79%"
"Jul 31, 2022","2.7029","2.6962","2.7029","2.6962","0.81%"
"Jul 29, 2022","2.6811","2.7030","2.7670","2.6580","-0.62%"
"Jul 28, 2022","2.6979","2.8190","2.8840","2.6530","-4.87%"
"Jul 27, 2022","2.8361","2.8940","2.9160","2.7920","-2.21%"
"Jul 26, 2022","2.9002","2.8870","2.9070","2.7970","0.41%"
"Jul 25, 2022","2.8885","2.8870","2.9190","2.8600","0.23%"
"Jul 24, 2022","2.8819","2.8853","2.8853","2.8819","1.19%"
"Jul 22, 2022","2.8481","2.9890","3.0180","2.8090","-4.73%"
"Jul 21, 2022","2.9894","3.1620","3.2120","2.9740","-5.61%"
"Jul 20, 2022","3.1672","3.1600","3.1810","3.0700","0.22%"
"Jul 19, 2022","3.1603","3.0990","3.1620","3.0660","1.82%"
"Jul 18, 2022","3.1039","3.0440","3.1310","3.0290","1.84%"
"Jul 17, 2022","3.0477","3.0477","3.0477","3.0477","0.00%"
"Jul 15, 2022","3.0477","3.0620","3.0900","2.9950","-0.51%"
"Jul 14, 2022","3.0634","3.0430","3.1550","3.0130","1.18%"
"Jul 13, 2022","3.0278","3.0110","3.1540","2.9670","0.27%"
"Jul 12, 2022","3.0195","3.0470","3.0520","2.9530","-1.11%"
"Jul 11, 2022","3.0535","3.1420","3.1490","3.0110","-2.87%"
"Jul 10, 2022","3.1438","3.1472","3.1472","3.1438","0.71%"
"Jul 08, 2022","3.1217","3.0370","3.1590","3.0000","2.73%"
"Jul 07, 2022","3.0387","2.9800","3.0680","2.9380","1.98%"
"Jul 06, 2022","2.9797","2.8350","2.9830","2.7350","5.53%"
"Jul 05, 2022","2.8236","2.9140","2.9730","2.7720","-3.17%"
"Jul 04, 2022","2.9160","2.9144","2.9160","2.9144","1.10%"
"Jul 01, 2022","2.8842","3.0530","3.0560","2.7800","-5.22%"
"Jun 30, 2022","3.0429","3.1330","3.1600","3.0030","-3.08%"
"Jun 29, 2022","3.1395","3.2360","3.2480","3.1390","-2.94%"
"Jun 28, 2022","3.2347","3.2590","3.3130","3.2240","-0.77%"
"Jun 27, 2022","3.2598","3.1860","3.2910","3.1700","2.33%"
"Jun 26, 2022","3.1857","3.1892","3.1892","3.1857","-0.06%"
"Jun 24, 2022","3.1875","3.1360","3.1980","3.0810","1.47%"
"Jun 23, 2022","3.1412","3.2230","3.2510","3.0370","-2.86%"
"Jun 22, 2022","3.2336","3.3700","3.3720","3.2020","-3.91%"
